stratum,n,bias,rmse,mae,r,r_log,slope,intercept,view,retrieval,qc_mode
not_water_pixel,59,7.21878265078007,61.04024028168791,22.315634185681315,-0.09444257350204097,0.3536156701665455,-0.25722284594712935,22.21727678187696,pixel,R10,qc_strict
phase_agree_liquid,306519,9.053215987679001,46.91160008888911,14.038229988940012,0.030662841040828247,0.3404613099663695,0.17435490314019764,14.690774602758331,pixel,R10,qc_strict
phase_disagree_atlid_liquid,138441,-1.9586654441252966,19.008772427175252,5.976640273734359,0.0929567371588808,0.44149567371742554,0.0935004841825768,4.539593163406738,pixel,R10,qc_strict
atlid_radar_synergy,220906,2.8520791698088597,38.269200370218186,12.100547976230704,0.03486865631920319,0.33287211523363236,0.09340054394743467,11.587064790748366,pixel,R10,qc_strict
atlid_only,225013,8.303395438674734,42.30102358214889,11.003364829342699,0.052166027467838064,0.33592516969684744,0.5028944391858666,10.4624461738144,pixel,R10,qc_strict
tau_thin,59383,10.407811021977798,42.859366002684226,10.41714620059031,-0.013188292971333865,0.02442903484636971,-2.2510272182279247,12.120248338004311,pixel,R10,qc_strict
tau_mid,80934,6.808673982781691,33.844165641123034,7.177390335489661,-0.002031245210279891,0.08295094328978403,-0.11583749531496187,8.97885590311717,pixel,R10,qc_strict
tau_thick,194716,7.4571623920722505,41.85228235940774,11.23048453488109,0.07502256683552247,0.19276841344885776,1.5682912202868002,3.95677331441799,pixel,R10,qc_strict
tau_very_thick,91108,-3.2658435582779792,41.040411626080854,17.4288070552029,-0.020056752089332344,0.01404132554393693,-0.041560889523845075,16.355578794775138,pixel,R10,qc_strict
all,446881,6.926885761167123,43.71347507943744,12.864818263405631,0.024119490872898004,0.33487766090462784,0.09790148241082383,13.214761262953662,pixel,R11,qc_strict
ocean,324361,7.537317521134134,43.844485569408775,12.922539327339377,0.031228376176801242,0.3665859478979009,0.15477973040997822,13.314448090727575,pixel,R11,qc_strict
land,122520,5.310820987296247,43.36472532866449,12.71200678757626,0.01539858794848654,0.24787216179927363,0.044811682925475875,12.310679881263573,pixel,R11,qc_strict
lat_tropics,182043,1.4404542269333342,30.016781351245324,7.88969882634417,0.0327260070619929,0.3731380424377437,0.06805665513683022,7.441606903165916,pixel,R11,qc_strict
lat_midlat,233122,9.694318567579607,49.08118888802798,15.55155641461371,0.018519931229963333,0.29645351517825863,0.10656253111512819,16.29899084011369,pixel,R11,qc_strict
lat_polar,31716,18.076368201892,63.608988562452275,21.672609170047348,-0.0002762559374697522,0.23949095927473946,-0.0037927426598981643,25.017057554111425,pixel,R11,qc_strict
dist_lt2km,273398,3.028710469068597,33.08134075109462,9.061416673446566,0.03928029280698543,0.38466956505168726,0.11505724202730547,9.068206774848933,pixel,R11,qc_strict
dist_2_5km,168694,13.02233869926584,56.435691552889224,18.82598638171989,0.007535565907454027,0.28246591681460986,0.04163820008446595,19.93560107235837,pixel,R11,qc_strict
dist_ge5km,4789,14.754614007048957,60.35038985694667,20.01225892757791,-0.009704106610355681,0.23246891303000602,-0.07743548638946433,21.981196427614293,pixel,R11,qc_strict
tdiff_lt3min,177605,7.003046841409899,43.59368963689333,12.822579650560584,0.025994136479222548,0.33753262143711726,0.11232000778535568,13.131916410916144,pixel,R11,qc_strict
